@DavidHeathMP.txt:XX,DavidHeathMP,About David Heath MP,23,0,0
@DavidJonesMP.txt:XX,DavidJonesMP,David Jones,760,28,4
@DavidLammy.txt:XX,DavidLammy,David Lammy,584,30,7
@DavidMundellMP.txt:XX,DavidMundellMP,David Mundell MP,652,40,15
@DavidNuttallMP.txt:XX,DavidNuttallMP,David Nuttall MP,582,56,3
@DavidRutleyMP.txt:XX,DavidRutleyMP,David Rutley,509,57,25
@DavidWardMP.txt:XX,DavidWardMP,David Ward,715,77,46
@DavidWrightMP.txt:XX,DavidWrightMP,David Wright MP,771,50,10
@David_Cameron.txt:XX,David_Cameron,David Cameron,836,83,42
@Debbie_abrahams.txt:XX,Debbie_abrahams,Debbie Abrahams,546,66,37
@DianaJohnsonMP.txt:XX,DianaJohnsonMP,Diana Johnson,311,28,1
@DonFosterMP.txt:XX,DonFosterMP,Don Foster,477,62,27
@DouglasCarswell.txt:XX,DouglasCarswell,Douglas Carswell MP,483,16,7
@DrPhillipLeeMP.txt:XX,DrPhillipLeeMP,Dr Phillip Lee MP,561,58,22
@EalingLabour.txt:XX,EalingLabour,Ealing Labour Party,274,25,17
@Ed_Miliband.txt:XX,Ed_Miliband,Ed Miliband,638,59,16
@EdwardDaveyMP.txt:XX,EdwardDaveyMP,Edward Davey,323,53,15
@EmilyThornberry.txt:XX,EmilyThornberry,Emily Thornberry MP,408,38,10
@EmmaLewellBuck.txt:XX,EmmaLewellBuck,Emma Lewell-Buck MP,452,24,15
@EmmaReynoldsMP.txt:XX,EmmaReynoldsMP,Emma Reynolds,427,68,18
@EricPickles.txt:XX,EricPickles,Eric Pickles,609,48,18
@EstherMcVeyMP.txt:XX,EstherMcVeyMP,Esther McVey,706,59,35
@FionaODonnellMP.txt:XX,FionaODonnellMP,Fiona O'Donnell MP,412,29,3
@FitzMP.txt:XX,FitzMP,Jim Fitzpatrick MP,712,86,45
@FrancieMolloy.txt:XX,FrancieMolloy,Francie Molloy,264,34,10
@Freeman_George.txt:XX,Freeman_George,George Freeman MP,532,56,23
@GBirtwistle_MP.txt:XX,GBirtwistle_MP,Gordon Birtwistle,656,54,10
@GHollingbery.txt:XX,GHollingbery,George Hollingbery,227,18,2
@GSutcliffeMP.txt:XX,GSutcliffeMP,Gerry Sutcliffe,57,5,2
@GWilliamsonMP.txt:XX,GWilliamsonMP,Gavin Williamson MP,351,26,10
@GarethThomasMP.txt:XX,GarethThomasMP,Gareth Thomas MP,745,89,75
@GavinBarwellMP.txt:XX,GavinBarwellMP,Gavin Barwell MP,756,43,9
@GemmaWDMP.txt:XX,GemmaWDMP,Gemma Doyle,500,46,11
@Geoffrey_Cox.txt:XX,Geoffrey_Cox,Geoffrey Cox MP,607,46,21
@George_Osborne.txt:XX,George_Osborne,George Osborne,871,108,22
@GeraintDaviesMP.txt:XX,GeraintDaviesMP,Geraint Davies MP,668,87,56
@GiselaStuart.txt:XX,GiselaStuart,Gisela,406,17,11
@GloriaDePieroMP.txt:XX,GloriaDePieroMP,Gloria,0,0,0
@GlynDaviesMP.txt:XX,GlynDaviesMP,Glyn Davies,383,28,2
@GordonBanksMP.txt:XX,GordonBanksMP,Gordon Banks MP,257,14,0
@GordonMarsden.txt:XX,GordonMarsden,Gordon Marsden MP,362,49,8
@GraemeMorrice.txt:XX,GraemeMorrice,Graeme Morrice MP,107,4,3
@GrahamAllenMP.txt:XX,GrahamAllenMP,Graham Allen,446,35,15
@GrahamEvansMP.txt:XX,GrahamEvansMP,Graham Evans MP,308,35,17
@GrahamJones_MP.txt:XX,GrahamJones_MP,Graham Jones,421,68,30
@GregBarkerMP.txt:XX,GregBarkerMP,Greg Barker,429,38,16
@GregHands.txt:XX,GregHands,Greg Hands,601,84,34
@GregMulholland1.txt:XX,GregMulholland1,Greg Mulholland MP,529,23,8
@GutoBebb.txt:XX,GutoBebb,Guto Bebb,851,50,7
@GuyOppermanMP.txt:XX,GuyOppermanMP,Guy Opperman MP,451,60,38
@GwynneMP.txt:XX,GwynneMP,Andrew Gwynne MP,389,25,2
@HBaldwinMP.txt:XX,HBaldwinMP,Harriett Baldwin,494,42,33
@HackneyAbbott.txt:XX,HackneyAbbott,Diane Abbott MP,571,34,15
@HarrietHarman.txt:XX,HarrietHarman,Harriet Harman,567,34,14
@HazelBlearsMP.txt:XX,HazelBlearsMP,Hazel Blears ,81,2,2
@HeatherWheeler.txt:XX,HeatherWheeler,Heather Wheeler ,810,63,12
@HelenGoodmanMP.txt:XX,HelenGoodmanMP,Helen Goodman,448,40,3
@HelenGrantMP.txt:XX,HelenGrantMP,Helen Grant MP,699,67,28
@HelenJonesMP.txt:XX,HelenJonesMP,Helen Jones MP,532,41,20
@HendonMP.txt:XX,HendonMP,Matthew Offord,422,31,1
@HenrySmithMP.txt:XX,HenrySmithMP,Henry Smith,472,40,12
@HighPeakAndrew.txt:XX,HighPeakAndrew,Andrew Bingham MP,561,46,3
@HugoSwire.txt:XX,HugoSwire,Hugo Swire,704,56,17
@IainWrightMP.txt:XX,IainWrightMP,Iain Wright,418,33,5
@IanAustinMP.txt:XX,IanAustinMP,Ian Austin,696,53,19
@IanCLucas.txt:XX,IanCLucas,Ian Lucas,479,34,10
@IanDavidsonMP.txt:XX,IanDavidsonMP,Ian Davidson MP,185,8,5
@IanLaveryMP.txt:XX,IanLaveryMP,Ian Lavery MP,615,57,13
@IanMearnsMP.txt:XX,IanMearnsMP,Ian Mearns MP,619,78,11
@IanMurrayMP.txt:XX,IanMurrayMP,Ian Murray MP,464,70,25
@InverclydeMP.txt:XX,InverclydeMP,Iain McKenzie MP,660,48,22
@IrrancaDaviesMP.txt:XX,IrrancaDaviesMP,Huw Irranca-Davies,488,33,21
@IvanLewis_MP.txt:XX,IvanLewis_MP,Ivan Lewis,373,25,3
@JBrokenshire.txt:XX,JBrokenshire,James Brokenshire,672,40,10
@JDjanogly.txt:XX,JDjanogly,Jonathan Djanogly MP,546,44,23
@JTomlinsonMP.txt:XX,JTomlinsonMP,Justin Tomlinson MP,541,59,11
@JWoodcockMP.txt:XX,JWoodcockMP,John Woodcock,511,12,1
@J_Donaldson_MP.txt:XX,J_Donaldson_MP,Jeffrey Donaldson MP,579,44,10
@JackDromeyMP.txt:XX,JackDromeyMP,JackDromeyMP,869,125,38
@JackLoprestiMP.txt:XX,JackLoprestiMP,Jack Lopresti MP,192,24,3
@JakeBerryMP.txt:XX,JakeBerryMP,Jake Berry,557,49,21
@JamesDuddridge.txt:XX,JamesDuddridge,James Duddridge,353,55,6
@JamesGrayMP.txt:XX,JamesGrayMP,James Gray MP,457,20,13
@JamesMorrisMP.txt:XX,JamesMorrisMP,James Morris,511,32,7
@JasonMcCartney.txt:XX,JasonMcCartney,Jason McCartney MP,394,47,27
@JennyChapman.txt:XX,JennyChapman,Jenny Chapman MP,607,37,6
@JennyWillott.txt:XX,JennyWillott,Jenny Willott,442,27,9
@JeremyBrowneMP.txt:XX,JeremyBrowneMP,Jeremy Browne,473,36,1
@JeremyLefroyMP.txt:XX,JeremyLefroyMP,Jeremy Lefroy ,816,62,49
@Jeremy_Hunt.txt:XX,Jeremy_Hunt,Jeremy Hunt,810,144,36
@Jesse_Norman.txt:XX,Jesse_Norman,Jesse Norman,518,33,14
@JessicaLeeMP.txt:XX,JessicaLeeMP,Jessica Lee MP,149,21,14
@JimHood_MP.txt:XX,JimHood_MP,Jim Hood MP,139,22,16
@JimMcGovernMP.txt:XX,JimMcGovernMP,Jim McGovern MP,179,10,5
@JimSheridanMP.txt:XX,JimSheridanMP,Jim Sheridan,549,52,11
@JoJohnsonMP.txt:XX,JoJohnsonMP,Jo Johnson,88,13,3
@JohnDenhamMP.txt:XX,JohnDenhamMP,John Denham,253,9,2
@JohnGlenMP.txt:XX,JohnGlenMP,John Glen,473,50,8
@JohnHealey_MP.txt:XX,JohnHealey_MP,John Healey MP,469,44,9
@JohnHowellMP.txt:XX,JohnHowellMP,John Howell,882,92,7
@JohnMannMP.txt:XX,JohnMannMP,John Mann MP,574,45,1
@JohnPenroseNews.txt:XX,JohnPenroseNews,John Penrose MP,839,86,60
@JohnRobertsonMP.txt:XX,JohnRobertsonMP,John Robertson,580,133,82
@JohnStevensonMP.txt:XX,JohnStevensonMP,John Stevenson MP,171,16,1
@JonAshworth.txt:XX,JonAshworth,Jonathan Ashworth MP,609,38,14
@JonCruddasMP.txt:XX,JonCruddasMP,Jon Cruddas,602,39,31
@JonathanEvansMP.txt:XX,JonathanEvansMP,Jonathan Evans MP,137,17,11
@JonathanPlaid.txt:XX,JonathanPlaid,Jonathan Edwards ,231,6,3
@JulianSmithMP.txt:XX,JulianSmithMP,Julian Smith MP,369,28,5
@JulieElliottMP.txt:XX,JulieElliottMP,Julie Elliott MP,426,57,25
